Sector,Country,Category,Year,Month,Emission Value,Unit
Buildings,Australia,commercial,2005,,149.7373148,kg CO2 / m2
Buildings,Australia,commercial,2010,,141.6846709,kg CO2 / m2
Buildings,Canada,commercial,2005,,115.7128231,kg CO2 / m2
Buildings,Canada,commercial,2010,,90.62713699,kg CO2 / m2
Buildings,Chile,commercial,2005,,96.48342408,kg CO2 / m2
Buildings,Chile,commercial,2010,,147.859903,kg CO2 / m2
Buildings,Indonesia,commercial,2005,,98.63541608,kg CO2 / m2
Buildings,Indonesia,commercial,2010,,83.105163,kg CO2 / m2
Buildings,Japan,commercial,2005,,137.5447802,kg CO2 / m2
Buildings,Japan,commercial,2010,,125.6070095,kg CO2 / m2
Buildings,Mexico,commercial,2005,,22.28198765,kg CO2 / m2
Buildings,Mexico,commercial,2010,,18.83713046,kg CO2 / m2
Buildings,New Zealand,commercial,2005,,49.95134947,kg CO2 / m2
Buildings,New Zealand,commercial,2010,,35.91954023,kg CO2 / m2
Buildings,Norway,commercial,2005,,8.050282062,kg CO2 / m2
Buildings,Norway,commercial,2010,,13.14241781,kg CO2 / m2
Buildings,Russian Federation,commercial,2005,,193.6551724,kg CO2 / m2
Buildings,Russian Federation,commercial,2010,,190.3971396,kg CO2 / m2
Buildings,Germany,commercial,1995,,87.51962323,kg CO2 / m2
Buildings,Germany,commercial,2000,,64.65505061,kg CO2 / m2
Buildings,Germany,commercial,2001,,67.45541627,kg CO2 / m2
Buildings,Germany,commercial,2002,,69.59998625,kg CO2 / m2
Buildings,Germany,commercial,2003,,87.05810527,kg CO2 / m2
Buildings,Germany,commercial,2004,,85.92619392,kg CO2 / m2
Buildings,Germany,commercial,2005,,85.29956763,kg CO2 / m2
Buildings,Germany,commercial,2006,,92.11192707,kg CO2 / m2
Buildings,Germany,commercial,2007,,84.07191694,kg CO2 / m2
Buildings,Germany,commercial,2008,,87.68042542,kg CO2 / m2
Buildings,Germany,commercial,2009,,83.94530261,kg CO2 / m2
Buildings,Germany,commercial,2010,,88.93034826,kg CO2 / m2
Buildings,Germany,commercial,2011,,78.65443425,kg CO2 / m2
Buildings,Germany,commercial,2012,,81.58598852,kg CO2 / m2
Buildings,Germany,commercial,2013,,82.1845651,kg CO2 / m2
Buildings,France,commercial,1990,,63.54266188,kg CO2 / m2
Buildings,France,commercial,1991,,72.05398143,kg CO2 / m2
Buildings,France,commercial,1992,,66.07506878,kg CO2 / m2
Buildings,France,commercial,1993,,60.18397888,kg CO2 / m2
Buildings,France,commercial,1994,,56.20534797,kg CO2 / m2
Buildings,France,commercial,1995,,58.40284591,kg CO2 / m2
Buildings,France,commercial,1996,,63.22903005,kg CO2 / m2
Buildings,France,commercial,1997,,57.57592164,kg CO2 / m2
Buildings,France,commercial,1998,,63.08188158,kg CO2 / m2
Buildings,France,commercial,1999,,60.54804264,kg CO2 / m2
Buildings,France,commercial,2000,,45.61302658,kg CO2 / m2
Buildings,France,commercial,2001,,44.19346919,kg CO2 / m2
Buildings,France,commercial,2002,,41.64353137,kg CO2 / m2
Buildings,France,commercial,2003,,45.87374592,kg CO2 / m2
Buildings,France,commercial,2004,,45.90773722,kg CO2 / m2
Buildings,France,commercial,2005,,46.94017452,kg CO2 / m2
Buildings,France,commercial,2006,,42.64514211,kg CO2 / m2
Buildings,France,commercial,2007,,42.20545977,kg CO2 / m2
Buildings,France,commercial,2008,,40.93644893,kg CO2 / m2
Buildings,France,commercial,2009,,44.28125171,kg CO2 / m2
Buildings,France,commercial,2010,,46.40673114,kg CO2 / m2
Buildings,France,commercial,2011,,39.19884014,kg CO2 / m2
Buildings,France,commercial,2012,,41.1391056,kg CO2 / m2
Buildings,France,commercial,2013,,40.93258783,kg CO2 / m2
Buildings,Italy,commercial,2010,,188.9212424,kg CO2 / m2
Buildings,Italy,commercial,2011,,176.6637857,kg CO2 / m2
Buildings,Italy,commercial,2012,,178.5714286,kg CO2 / m2
Buildings,Italy,commercial,2013,,165.0628644,kg CO2 / m2
Buildings,United Kingdom,commercial,1994,,104.2393324,kg CO2 / m2
Buildings,United Kingdom,commercial,1995,,98.40291251,kg CO2 / m2
Buildings,United Kingdom,commercial,1996,,96.58650603,kg CO2 / m2
Buildings,United Kingdom,commercial,1997,,90.55614519,kg CO2 / m2
Buildings,United Kingdom,commercial,1998,,87.73359848,kg CO2 / m2
Buildings,United Kingdom,commercial,1999,,86.97259011,kg CO2 / m2
Buildings,United Kingdom,commercial,2000,,88.18024762,kg CO2 / m2
Buildings,United Kingdom,commercial,2001,,93.08875655,kg CO2 / m2
Buildings,United Kingdom,commercial,2002,,84.29500879,kg CO2 / m2
Buildings,United Kingdom,commercial,2003,,85.63464128,kg CO2 / m2
Buildings,United Kingdom,commercial,2004,,87.6698162,kg CO2 / m2
Buildings,United Kingdom,commercial,2005,,95.60471566,kg CO2 / m2
